,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
194,Fairbanks,64.84,-147.72,79.0,57,40,5.82
195,Constitucion,23.99,-104.67,70.0,57,76,8.01
196,General Roca,-39.03,-67.58,41.0,93,0,2.66
197,Arroyo,-11.08,-66.08,70.79,73,9,0.67
198,Codrington,-28.95,153.24,75.2,28,0,13.87
199,Zaterechnyy,44.8,45.21,84.47,35,28,8.81
200,Palu,-0.9,119.87,82.67,67,99,3.06
201,Waddan,29.16,16.14,86.99,22,0,6.98
202,Gualeguaychu,-33.01,-58.51,54.0,94,87,1.01
203,Jishou,28.26,109.7,82.13,67,91,8.95
204,Raudeberg,61.99,5.14,55.4,100,75,3.36
205,Veracruz,-3.97,-79.57,57.83,91,47,2.37
206,Leningradskiy,69.38,178.42,44.15,70,7,4.03
207,Kijang,35.24,129.21,82.4,69,75,13.87
208,Husavik,50.56,-96.99,62.01,81,35,2.82
209,Kingston,17.97,-76.79,84.2,70,75,12.75
210,Houma,35.63,111.36,86.81,34,31,8.5
211,Hamilton,43.26,-79.87,77.0,88,75,4.7
212,Wiwili,13.63,-85.83,68.09,95,99,2.42
213,Damghan,36.17,54.34,72.59,41,99,0.49
214,Vila,45.18,8.4,73.0,73,75,5.82
215,Alta Floresta,-9.87,-56.08,67.73,59,2,2.1
216,Revda,67.94,34.55,39.29,80,100,10.22
217,Prince Rupert,54.32,-130.32,62.6,88,90,2.86
218,Ixtapa,20.71,-105.21,84.99,74,20,3.36
219,Kalmunai,7.42,81.82,95.81,38,85,4.18
220,Saint-Leu,-21.15,55.28,77.0,41,0,4.7
221,Carolina,18.38,-65.96,82.4,78,40,10.29
222,Arman,59.7,150.17,73.49,52,0,5.84
223,Novoselitskoye,44.75,43.44,73.4,43,96,4.47
224,Utiel,39.57,-1.21,72.0,88,0,3.36
225,Shache,38.42,77.24,86.63,28,0,4.14
226,Mufulira,-12.55,28.24,56.03,56,7,7.09
227,Boende,-0.28,20.88,71.33,94,81,3.71
228,Pisco,-13.71,-76.2,60.8,77,20,3.36
229,San Patricio,-26.98,-56.83,64.31,82,80,8.25
230,Angoram,-4.06,144.07,87.17,59,91,4.41
231,Oktyabrskoye,56.73,85.44,70.0,52,40,4.47
232,Zhigansk,66.77,123.37,82.31,35,100,7.16
233,Itarema,-2.92,-39.92,72.77,85,12,6.38
234,Hobart,-42.88,147.33,55.4,50,75,13.87
235,Lata,30.78,78.62,50.45,96,95,7.34
236,Turukhansk,65.8,87.96,63.77,44,7,15.55
237,Tanete,-3.94,119.78,85.55,61,12,13.58
238,Flin Flon,54.77,-101.88,55.31,87,99,2.57
239,Seymchan,62.93,152.39,79.97,32,0,5.48
240,Komatsushima,34.01,134.59,82.4,88,75,18.34
241,Rocha,-34.48,-54.34,51.17,91,30,3.44
242,Luganville,-15.51,167.18,78.8,88,75,5.82
243,Whitefish,48.41,-114.33,68.0,56,20,4.88
244,Quatre Cocos,-20.21,57.76,75.99,78,40,2.24
245,Saint-Pierre,48.95,4.24,60.8,72,0,3.36
246,Lumphat,13.5,106.97,89.15,63,87,3.78
247,Swan River,52.11,-101.27,59.27,86,55,6.82
248,Roald,62.58,6.12,55.4,93,90,3.36
249,Kasungu,-13.04,33.48,56.93,73,40,5.61
250,Kenora,49.76,-94.48,66.2,48,20,5.82
251,Weston,41.2,-73.38,78.01,83,75,0.87
252,South Miami,25.71,-80.29,84.99,83,75,5.82
253,Nyagan,62.14,65.43,70.97,69,94,9.6
254,Haradok,55.46,29.99,55.4,87,75,6.71
255,Kaeo,-35.1,173.78,54.77,88,0,3.0
256,Buala,-8.15,159.59,82.31,78,100,5.03
257,Celestun,20.87,-90.4,81.95,78,90,15.95
258,Aklavik,68.22,-135.01,44.6,81,90,10.29
259,Bandarbeyla,9.49,50.81,88.61,43,15,31.65
260,Paramonga,-10.68,-77.82,60.53,90,44,12.39
261,Mocuba,-16.84,36.99,65.03,82,0,1.99
262,Weinan,34.5,109.46,82.4,61,100,6.71
263,Ewa Beach,21.32,-158.01,84.2,54,20,12.75
264,Erenhot,43.65,111.97,83.39,22,24,6.06
265,Sampit,-2.54,112.95,89.87,52,44,3.78
266,Carlisle,54.89,-2.94,59.0,100,90,9.17
267,Coihaique,-45.58,-72.07,37.4,93,95,6.93
268,Vagur,61.47,-6.81,51.17,98,100,16.71
269,Saint-Augustin,45.63,-73.98,77.0,82,75,4.7
270,Jalu,29.03,21.55,83.39,40,0,6.17
271,Arroyos y Esteros,-25.05,-57.1,59.0,87,0,6.04
272,Effingham,39.12,-88.54,78.8,83,1,4.7
273,Herat,34.35,62.22,95.0,12,0,6.93
274,Nizhniy Baskunchak,48.22,46.83,63.41,78,100,8.23
275,Camacha,33.08,-16.33,69.8,73,75,14.99
276,Joinville,-26.3,-48.85,51.01,95,55,2.37
277,Hay River,60.82,-115.79,62.6,48,75,8.05
278,Carauari,-4.88,-66.9,69.89,99,20,2.21
279,Jacareacanga,-6.22,-57.76,70.43,86,7,1.66
280,Halifax,44.65,-63.58,54.0,81,5,4.7
281,Santa Isabel do Rio Negro,-0.41,-65.02,70.97,99,98,2.3
282,Jalingo,10.3,10.93,72.77,88,100,10.09
283,Dwarka,28.58,77.04,96.8,47,40,11.41
284,Yining,29.04,114.56,90.05,57,99,1.01
285,Catuday,16.29,119.81,84.83,78,10,12.84
286,Yarmouth,43.84,-66.12,57.2,82,40,6.93
287,Puro,13.13,123.76,85.73,65,38,3.4
288,Guerrero Negro,27.97,-114.04,67.01,80,0,19.13
289,Makakilo City,21.35,-158.09,84.2,69,1,9.17
290,Hofn,64.25,-15.21,40.19,81,100,1.99
291,Grindavik,63.84,-22.43,51.8,100,75,2.24
292,Port Macquarie,-31.43,152.91,75.0,26,0,17.22
293,Luau,-10.7,22.23,59.99,35,0,6.13
294,Pecos,31.42,-103.49,87.8,38,1,14.99
295,Rio Grande,-32.03,-52.1,55.49,94,75,3.13
296,Daru,-9.07,143.21,78.71,67,24,10.02
297,Baherden,38.44,57.43,79.97,36,47,8.23
298,Roebourne,-20.77,117.15,82.67,17,100,14.65
299,Watsa,3.04,29.53,68.63,93,88,2.73
300,Provideniya,64.42,-173.23,64.4,59,0,2.24
301,Puerto Madryn,-42.77,-65.04,50.63,64,67,13.35
302,Karratha,-20.74,116.85,82.85,17,100,15.82
303,Kalianget,-7.35,109.91,87.8,45,20,12.75
304,Namatanai,-3.66,152.44,79.79,79,100,21.83
305,Atasu,48.68,71.64,83.93,21,0,10.36
306,Sobolevo,54.43,31.9,57.65,88,50,7.43
307,Talcahuano,-36.72,-73.12,51.8,93,75,2.24
308,Mersing,2.43,103.84,89.69,50,96,3.74
309,Westport,41.14,-73.36,78.01,83,1,6.93
310,Filadelfia,-22.35,-60.04,68.45,52,0,7.45
311,Christchurch,-43.53,172.64,52.0,71,52,4.7
312,Namibe,-15.19,12.15,66.29,81,15,9.48
313,Matay,28.42,30.79,83.03,44,0,11.72
314,Quelimane,-17.88,36.89,59.0,93,40,2.24
315,Honiara,-9.43,159.96,86.0,79,75,10.29
316,Sinegorye,62.09,150.53,78.17,37,2,7.36
317,Prenzlau,53.32,13.87,59.0,81,22,7.23
318,Takapau,-40.02,176.35,52.0,80,58,9.98
319,Khatanga,71.98,102.47,49.37,78,100,4.94
320,Puerto El Triunfo,13.27,-88.55,75.2,88,40,2.24
321,Bukoba,-1.33,31.81,74.03,51,70,5.59
322,Iqaluit,63.75,-68.52,46.4,81,75,3.36
323,Isla Mujeres,21.23,-86.73,82.4,78,40,8.05
324,Keroka,-0.78,34.95,67.55,73,10,9.55
325,Constantine,36.36,6.61,62.6,77,0,2.15
326,Yar-Sale,66.83,70.83,56.39,88,100,17.94
327,Marsh Harbour,26.54,-77.06,83.39,79,13,12.64
328,Renigunta,13.64,79.51,89.6,49,75,3.36
329,Sulangan,11.14,123.72,84.83,63,24,3.02
330,Petropavlovsk-Kamchatskiy,53.05,158.65,66.2,68,20,8.95
331,Faanui,-16.48,-151.75,77.81,70,12,6.51
332,Ancud,-41.87,-73.83,42.8,100,90,9.17
333,Maniwaki,46.38,-75.98,62.15,94,90,3.49
334,Orange,33.79,-117.85,73.0,82,1,5.82
335,Great Yarmouth,52.61,1.73,63.0,93,75,5.82
336,Kenai,60.55,-151.26,61.0,82,20,10.29
337,Tiznit,29.7,-9.73,66.11,92,2,9.69
338,Barinitas,8.76,-70.41,52.07,96,100,2.26
339,Gasa,27.91,89.73,42.71,90,100,7.92
340,Russell,38.9,-98.86,72.0,64,1,2.13
341,Ambon,47.55,-2.56,66.0,88,0,3.36
342,Ahuimanu,21.44,-157.84,84.2,88,40,10.29
343,Peterhead,-34.83,138.5,61.0,82,75,10.29
344,Lima Duarte,-21.84,-43.79,48.11,93,2,3.36
345,Iquitos,-3.75,-73.25,75.2,88,0,3.36
346,Nenjiang,49.17,125.23,69.17,89,100,6.64
347,Henties Bay,-22.12,14.28,54.0,97,0,1.99
348,Okha,53.59,142.95,59.45,80,39,5.19
349,Conway,35.09,-92.44,77.0,94,1,4.7
350,Shingu,33.72,135.99,75.2,88,75,9.17
351,Devecser,47.1,17.44,55.4,71,0,2.24
352,Karachi,24.87,67.03,91.4,55,40,13.87
353,Dosso,13.05,3.19,80.87,64,69,12.3
354,Polysayevo,54.6,86.28,68.81,59,0,8.7
355,Flinders,-34.58,150.85,64.0,38,40,20.8
356,Kaya,13.31,12.68,85.19,47,78,18.9
357,Saint-Georges,46.12,-70.67,61.0,25,63,7.83
358,Leua,-11.65,20.45,54.41,38,0,4.79
359,Laguna,16.17,-88.94,77.0,94,20,1.88
360,Nemuro,43.32,145.57,62.6,82,75,9.17
361,Dubasari,47.26,29.16,71.01,72,0,9.17
362,Malanje,-9.54,16.35,57.47,87,0,2.73
363,Conceicao das Alagoas,-19.91,-48.39,59.0,58,0,10.29
364,Alofi,-19.06,-169.92,77.0,88,0,8.05
365,Caceres,5.53,-74.53,63.95,85,23,4.99
366,Paicandu,-23.46,-52.05,53.69,95,45,5.14
367,Aykhal,65.95,111.51,80.6,30,75,6.71
368,Gbarnga,7.0,-9.47,69.53,99,99,2.24
369,Tamworth,-31.09,150.93,63.0,48,9,18.34
370,Acapulco,16.86,-99.88,78.8,83,90,6.93
371,Buraydah,26.33,43.97,89.6,33,0,6.93
372,Aksarka,66.56,67.8,63.77,90,100,13.62
373,Nortelandia,-14.45,-56.8,65.75,50,0,3.67
374,Kiama,-34.67,150.86,64.0,38,40,20.8
375,Necochea,-38.55,-58.74,37.99,97,83,1.99
376,Mecca,21.43,39.83,98.33,12,0,6.29
377,Oranjestad,12.52,-70.03,80.6,83,20,19.46
378,Saint-Francois,46.42,3.91,53.6,87,0,2.24
379,Portland,43.66,-70.25,64.4,77,1,1.77
380,Kaitangata,-46.28,169.85,50.0,77,32,2.42
381,Barentu,15.11,37.59,77.81,60,41,9.6
382,Port-Gentil,-0.72,8.78,75.2,94,75,4.7
383,Sorland,67.67,12.69,50.0,100,90,6.93
384,Putina,-14.91,-69.87,30.83,67,0,2.8
385,Kulaman,6.46,124.09,81.77,71,87,5.01
386,Jawhar,19.91,73.23,81.59,82,100,12.77
387,Mitsamiouli,-11.38,43.28,78.8,61,20,10.29
388,Yarada,17.65,83.27,93.2,52,75,13.87
389,Tomigusuku,26.18,127.67,89.6,79,75,16.11
390,Mabaruma,8.2,-59.78,71.33,97,13,0.38
391,The Valley,18.22,-63.06,82.0,78,20,11.41
392,Pontianak,-0.02,109.34,82.67,74,68,9.26
393,Cabo San Lucas,22.89,-109.91,84.2,45,5,4.7
394,Viedma,-40.81,-62.99,46.49,74,65,7.31
395,Adrar,27.87,-0.29,95.0,13,0,8.05
396,Rincon,8.46,-82.28,57.99,59,99,11.01
397,Saldanha,41.42,-6.55,68.09,53,0,3.27
398,Mumford,5.26,-0.76,70.07,98,56,2.46
399,Nabire,-3.36,135.5,78.53,69,84,5.64
400,Takoradi,4.89,-1.75,71.33,96,39,2.68
401,Cairns,-16.92,145.77,78.8,61,75,11.41
402,Cockburn Town,21.46,-71.14,81.23,86,10,18.84
403,El Espinal,16.48,-95.04,71.51,91,98,2.95
404,Souillac,45.6,-0.6,66.0,77,0,2.24
405,Taraz,42.89,71.39,87.8,31,0,4.47
406,Kahului,20.89,-156.47,82.4,65,40,13.87
407,Prince George,53.92,-122.75,57.2,93,90,8.05
408,Ivybridge,50.39,-3.92,61.0,93,20,2.24
409,Madang,35.32,102.79,41.63,95,100,4.05
410,Longmont,40.17,-105.1,71.6,49,1,5.82
411,Meridian,43.61,-116.39,80.6,53,100,3.36
412,Luwuk,-0.95,122.79,66.11,90,100,4.9
413,Shima,34.34,136.82,69.8,88,90,24.16
414,Bathsheba,13.22,-59.52,80.6,74,75,17.22
415,Trojes,41.76,19.96,66.2,63,0,3.36
416,Half Moon Bay,37.46,-122.43,64.0,93,1,5.82
417,Biancavilla,37.65,14.86,80.01,83,5,8.05
418,Bambanglipuro,-7.95,110.28,75.65,82,8,23.02
419,Nanchang,28.68,115.89,84.11,67,92,5.14
420,Parkersburg,39.27,-81.55,75.2,94,1,1.92
421,Shenzhen,22.54,114.05,93.0,79,20,11.18
422,Nhulunbuy,-12.18,136.78,78.8,69,40,10.29
423,Tieli,46.98,128.05,79.79,62,100,7.16
424,Angoche,-16.23,39.91,72.95,69,4,7.49
425,Rawson,-43.3,-65.11,48.47,67,86,7.45
426,Suamico,44.63,-88.04,71.6,82,40,4.7
427,Port Blair,11.67,92.75,89.6,66,40,9.17
428,Majene,-3.54,118.97,82.49,73,33,16.24
429,Healdsburg,38.61,-122.87,64.99,100,1,6.93
430,Palmas,-10.18,-48.33,73.4,60,0,6.93
431,Dikson,73.51,80.55,31.37,97,100,10.98
432,Berkakit,56.58,124.77,73.31,53,25,10.38
433,College,64.86,-147.8,79.0,57,40,5.82
434,Senneterre,48.39,-77.24,64.4,82,20,4.7
435,Beringovskiy,63.05,179.32,63.77,58,17,4.34
436,Najran,17.54,44.22,93.2,16,0,6.93
437,Ankazoabo,-22.29,44.51,60.89,81,63,9.19
438,Shieli,44.18,66.74,99.77,13,57,15.84
439,Mao,19.55,-71.08,81.0,94,20,5.82
440,Sitka,37.17,-99.65,73.0,79,35,9.44
441,Rio Linda,38.69,-121.45,77.0,53,1,8.05
442,Grand Gaube,-20.01,57.66,75.99,78,40,2.24
443,Koumac,-20.56,164.28,71.51,68,47,13.04
444,Trairi,-3.28,-39.27,69.71,94,5,4.97
445,Mayo,63.59,-135.9,69.8,43,90,2.24
446,Bin Qirdan,33.14,11.22,81.05,62,0,7.43
447,Salalah,17.01,54.1,82.4,83,90,6.93
448,Tirat Karmel,32.76,34.97,82.99,69,20,3.36
449,Dunedin,-45.87,170.5,50.0,88,0,4.0
450,Mahanoro,-19.9,48.8,72.41,74,67,1.03
451,San Matias,-16.36,-58.4,68.81,48,0,4.29
452,Fortuna,40.6,-124.16,64.4,87,90,4.7
453,Senanga,-16.1,23.3,52.43,36,19,3.42
454,Lichuan,30.3,108.94,80.87,60,94,6.2
455,Gizo,31.8,34.94,80.01,78,20,8.05
456,Poronaysk,49.22,143.1,55.13,86,99,6.6
457,Isangel,-19.55,169.27,75.2,78,75,11.41
458,Huarmey,-10.07,-78.15,62.15,89,2,14.54
459,Nampula,-15.12,39.26,62.6,100,75,3.36
460,Sabha,27.03,14.43,86.63,15,0,7.18
461,Lompoc,34.64,-120.46,64.0,87,90,6.93
462,Ostersund,63.18,14.64,51.01,66,0,6.93
463,Sawakin,19.1,37.33,91.49,31,0,34.05
464,Bonfim,3.36,-59.84,74.03,86,3,6.76
465,Hambantota,6.12,81.12,91.4,66,75,10.29
466,Carahue,-38.71,-73.16,48.2,100,75,5.82
467,Kyren,51.68,102.13,64.85,60,15,6.04
468,Idenao,4.25,9.0,71.6,100,40,4.21
469,Ishigaki,24.34,124.16,86.0,74,75,20.8
470,Bozuyuk,39.91,30.04,72.0,77,40,3.36
471,Horta,-10.93,-37.66,75.2,88,40,17.22
472,Bangkalan,-7.05,112.74,88.25,47,2,7.94
473,Ibra,22.69,58.55,100.67,13,6,2.42
474,Abalak,15.46,6.28,86.09,39,43,13.15
475,Virginia Beach,36.85,-75.98,79.0,100,20,10.13
476,Harrisonburg,38.45,-78.87,77.0,94,40,3.36
477,Hami,42.84,93.51,95.99,13,69,8.5
478,Abu Kamal,34.45,40.92,91.49,26,0,20.31
479,Kamenka,48.03,28.7,55.99,84,2,3.0
